modelo,pré_processamento,balanceamento,score_validação,analytics_vidhya
rand,False,False,0.9460,0.52724
rand,True,False,0.9404,0.51948
rand,False,True,0.9843,0.65526
rand,True,True,0.9763,0.69132
non_static,False,False,0.9478,0.54137
non_static,True,False,0.9428,0.52509
non_static,False,True,0.9781,0.64661
non_static,True,True,0.9824,0.70620
